item_name,item_price
Chips and Fresh Tomato Salsa,$2.39 
Izze,$3.39 
Nantucket Nectar,$3.39 
Chips and Tomatillo-Green Chili Salsa,$2.39 
Chicken Bowl,$16.98 
Chicken Bowl,$10.98 
Side of Chips,
Steak Burrito,$11.75 
Steak Soft Tacos,
Steak Burrito,$9.25 
Chips and Guacamole,$4.45 
Chicken Crispy Tacos,$8.75 
Chicken Soft Tacos,$8.75 
Chicken Bowl,$11.25 
Chips and Guacamole,$4.45 
Chips and Tomatillo-Green Chili Salsa,$2.39 
Chicken Burrito,$8.49 
Chicken Burrito,$8.49 
Canned Soda,$2.18 
Chicken Bowl,$8.75 
Chips and Guacamole,$4.45 
Barbacoa Burrito,$8.99 
Nantucket Nectar,$3.39 
Chicken Burrito,$10.98 
Izze,$3.39 
Chips and Fresh Tomato Salsa,$2.39 
Chicken Bowl,$8.49 
Carnitas Burrito,$8.99 
Canned Soda,$1.09 
Chicken Burrito,$8.49 
Chips and Tomatillo-Green Chili Salsa,$2.39 
Steak Burrito,$8.99 
Side of Chips,$1.69 
Carnitas Bowl,$8.99 
Bottled Water,$1.09 
Chicken Soft Tacos,$8.75 
Chicken Soft Tacos,$8.75 
Chips and Guacamole,$4.45 
Chips and Tomatillo Green Chili Salsa,$2.95 
Barbacoa Bowl,$11.75 
Chips,
Chips and Guacamole,$4.45 
Chicken Bowl,$11.25 
Steak Burrito,$11.75 
Chicken Salad Bowl,$8.75 
Chicken Burrito,$10.98 
Steak Burrito,$8.99 
Izze,$3.39 
Steak Burrito,$8.99 
Chips and Guacamole,$3.99 
Steak Burrito,$8.99 
Canned Soda,$2.18 
Chicken Burrito,$10.98 
Canned Soda,$1.09 
Steak Bowl,$8.99 
Chips and Fresh Tomato Salsa,$2.39 
Barbacoa Soft Tacos,$9.25 
Veggie Burrito,$11.25 
Barbacoa Bowl,$11.75 
Chips,$2.15 
Chips and Guacamole,$4.45 
Steak Soft Tacos,$9.25 
Veggie Bowl,$11.25 
Chicken Burrito,$8.75 
Steak Burrito,$8.99 
Steak Soft Tacos,$8.99 
Izze,$3.39 
Steak Burrito,$8.99 
Chicken Burrito,$10.98 
Steak Burrito,$8.99 
Side of Chips,$1.69 
Steak Burrito,$8.99 
Chips and Guacamole,$3.99 
Chicken Burrito,
Chips and Guacamole,$4.45 
Chicken Soft Tacos,$8.75 
Chicken Bowl,$8.75 
Chips,$2.15 
Chicken Bowl,$8.75 
Chicken Soft Tacos,$11.25 
Chips,$2.15 
Barbacoa Burrito,$9.25 
Chicken Burrito,$8.75 
Chicken Burrito,$8.75 
Steak Soft Tacos,$9.25 
Veggie Bowl,$8.49 
Steak Bowl,$8.99 
Bottled Water,$1.09 
Carnitas Burrito,$9.25 
Chips and Fresh Tomato Salsa,$2.95 
Steak Bowl,$11.75 
Steak Bowl,$11.75 
Steak Crispy Tacos,$9.25 
Carnitas Burrito,$11.75 
Chips and Guacamole,$4.45 
Barbacoa Bowl,$9.25 
Chips and Guacamole,$4.45 
Carnitas Bowl,$11.75 
Chicken Burrito,$8.75 
Chicken Bowl,$8.75 
Chips and Guacamole,$4.45 
Steak Burrito,$8.99 
Steak Bowl,$8.99 
Chips and Guacamole,$3.99 
Veggie Burrito,$8.49 
Nantucket Nectar,$3.39 
Steak Burrito,$8.99 
Canned Soda,$1.09 
Steak Burrito,$9.25 
Chips and Guacamole,$4.45 
Chicken Bowl,$8.75 
Chips and Tomatillo Red Chili Salsa,$2.95 
Chips and Guacamole,$4.45 
Chips and Tomatillo-Green Chili Salsa,$2.39 
Chicken Burrito,$8.49 
Barbacoa Bowl,$8.99 
Chicken Burrito,$8.49 
Canned Soda,$1.09 
Steak Soft Tacos,$8.99 
Chips and Guacamole,$3.99 
Chicken Burrito,$8.75 
Barbacoa Burrito,$9.25 
Chips and Guacamole,$4.45 
Chicken Bowl,$11.25 
Chips and Guacamole,$4.45 
Steak Burrito,$8.99 
Canned Soda,$1.09 
Barbacoa Bowl,$9.25 
Chips and Tomatillo Red Chili Salsa,$2.95 
Chips and Guacamole,$4.45 
Barbacoa Burrito,$11.75 
Chips and Guacamole,$4.45 
Chicken Burrito,$8.49 
Chips and Tomatillo-Green Chili Salsa,$2.39 
Chicken Burrito,$10.98 
Chicken Salad Bowl,$22.50 
Barbacoa Bowl,$11.75 
Chips and Guacamole,$4.45 
Chicken Bowl,$11.25 
Chips and Guacamole,$4.45 
Chicken Bowl,$11.25 
Chips and Guacamole,$4.45 
Chicken Bowl,$11.25 
Veggie Bowl,$11.25 
Barbacoa Burrito,$11.75 
Carnitas Bowl,$9.25 
Chips and Guacamole,$4.45 
Steak Burrito,$11.48 
Steak Burrito,$17.98 
Side of Chips,$1.69 
Chicken Burrito,$17.50 
Chips and Guacamole,$4.45 
Chicken Burrito,$8.49 
Chips and Tomatillo-Green Chili Salsa,$2.39 
Chicken Bowl,$17.50 
Chips and Guacamole,$4.45 
Chips and Guacamole,$4.45 
Veggie Bowl,$11.25 
Steak Burrito,$11.75 
Chicken Burrito,$10.98 
Chicken Bowl,$8.49 
Chicken Burrito,$10.98 
Canned Soda,$2.18 
Carnitas Bowl,$11.48 
Veggie Bowl,$8.49 
Chips and Tomatillo-Green Chili Salsa,$2.39 
Chips and Guacamole,$4.45 
Chicken Burrito,$11.25 
Barbacoa Crispy Tacos,$11.75 
Chicken Burrito,$8.75 
Chicken Burrito,$8.49 
Canned Soda,$2.18 
Chicken Burrito,$8.49 
Nantucket Nectar,$3.39 
Chicken Burrito,$8.49 
Steak Soft Tacos,$8.99 
Chicken Bowl,$10.98 
Steak Burrito,$11.48 
Chicken Burrito,$8.49 
Canned Soda,$1.09 
Canned Soda,$1.09 
Barbacoa Soft Tacos,$9.25 
Chicken Bowl,$8.75 
Chips and Fresh Tomato Salsa,$2.95 
Steak Soft Tacos,$9.25 
Chips and Guacamole,$4.45 
Veggie Salad Bowl,$11.25 
Steak Bowl,$11.48 
Chicken Burrito,$8.49 
Chicken Burrito,$8.49 
Steak Burrito,$8.99 
Chips and Roasted Chili-Corn Salsa,$2.39 
Veggie Bowl,$11.25 
Chicken Bowl,$8.75 
Chips and Fresh Tomato Salsa,$2.95 
Canned Soda,$1.09 
Steak Burrito,$8.99 
Chicken Burrito,$8.49 
Chips and Tomatillo-Green Chili Salsa,$2.39 
Chicken Bowl,$10.98 
Canned Soda,$1.09 
Chips and Guacamole,$3.99 
Chicken Burrito,$11.25 
Chicken Burrito,$8.75 
Chicken Burrito,$8.49 
Nantucket Nectar,$3.39 
Chicken Bowl,$8.75 
Steak Bowl,$9.25 
Chips,$2.15 
Chicken Bowl,$11.25 
Veggie Bowl,
Chicken Bowl,$11.25 
Chips and Guacamole,$4.45 
Chicken Salad Bowl,$22.50 
Chips and Guacamole,$4.45 
Steak Bowl,$11.75 
Chicken Burrito,$8.75 
Chicken Crispy Tacos,$17.50 
Chicken Bowl,$8.75 
Barbacoa Bowl,$9.25 
Chicken Bowl,$8.75 
Chips,$2.15 
Barbacoa Burrito,$9.25 
Chips,$4.30 
Chicken Bowl,$8.75 
Veggie Burrito,$11.25 
Chips,$2.15 
Steak Burrito,$8.99 
Canned Soda,$1.09 
Steak Burrito,$8.99 
Chips and Guacamole,$3.99 
Chicken Bowl,$8.75 
Chips and Tomatillo Green Chili Salsa,$2.95 
Chips and Roasted Chili Corn Salsa,$2.95 
Steak Burrito,$11.75 
Chips and Tomatillo Green Chili Salsa,$5.90 
Steak Burrito,$9.25 
Carnitas Soft Tacos,$9.25 
Steak Burrito,$11.75 
Carnitas Burrito,$9.25 
Chips and Fresh Tomato Salsa,$2.95 
Chicken Burrito,$17.50 
Chicken Burrito,$8.75 
Steak Bowl,$9.25 
Chicken Burrito,$10.98 
Steak Burrito,$8.99 
Canned Soda,$1.09 
Canned Soda,$1.09 
Canned Soda,$1.09 
Barbacoa Burrito,$8.99 
Chicken Salad,$10.98 
Canned Soda,$1.09 
Chicken Bowl,$8.75 
Veggie Bowl,$8.75 
Barbacoa Bowl,$9.25 
Barbacoa Crispy Tacos,$9.25 
Chicken Salad Bowl,$8.75 
Chicken Bowl,$8.75 
Steak Burrito,$8.99 
Steak Bowl,$8.99 
Steak Bowl,$8.99 
Canned Soda,$1.09 
Steak Bowl,$11.75 
Canned Soft Drink,$1.25 
Steak Burrito,$8.99 
Chips and Fresh Tomato Salsa,$2.39 
Steak Soft Tacos,$9.25 
Chips and Fresh Tomato Salsa,$2.95 
Barbacoa Soft Tacos,$8.99 
Chips and Guacamole,$3.99 
Chicken Burrito,$8.49 
Chips and Tomatillo-Green Chili Salsa,$2.39 
Chicken Burrito,$8.49 
Chicken Burrito,$8.49 
Chicken Burrito,$8.49 
Side of Chips,$1.69 
Chicken Burrito,$8.49 
Chips and Guacamole,$3.99 
Steak Soft Tacos,$8.99 
Side of Chips,$1.69 
Canned Soda,$1.09 
Steak Salad Bowl,
Chicken Bowl,$17.50 
Chips,$2.15 
Chicken Bowl,$8.75 
Steak Bowl,$9.25 
Steak Bowl,$9.25 
Veggie Bowl,$8.75 
Chips and Guacamole,$4.45 
Chicken Burrito,$8.75 
Chicken Bowl,$11.25 
Chicken Bowl,$11.25 
Canned Soft Drink,$1.25 
Steak Soft Tacos,$9.25 
Chips and Guacamole,$4.45 
Veggie Salad Bowl,$11.25 
Steak Burrito,$11.75 
Steak Burrito,$11.75 
6 Pack Soft Drink,$6.49 
Steak Soft Tacos,$8.99 
Chips and Tomatillo-Red Chili Salsa,$2.39 
Chicken Bowl,$8.49 
Chips and Fresh Tomato Salsa,$2.39 
Chicken Bowl,$11.25 
Chicken Bowl,$8.75 
Chips,$2.15 
Steak Bowl,$8.99 
Side of Chips,$1.69 
Chicken Burrito,$8.75 
Chicken Burrito,$11.25 
Chips,$2.15 
Chips and Guacamole,$4.45 
Chicken Bowl,$8.75 
Chicken Soft Tacos,$8.49 
Steak Burrito,$8.99 
Chicken Salad Bowl,
Chicken Burrito,$8.49 
Canned Soda,$1.09 
Bottled Water,$1.09 
Chicken Bowl,$8.75 
Canned Soft Drink,$1.25 
Chips,$2.15 
Steak Burrito,$11.08 
Chicken Burrito,$8.49 
Chicken Soft Tacos,$8.49 
Steak Burrito,$8.99 
Chips and Fresh Tomato Salsa,$2.39 
Chicken Bowl,$8.75 
Chips,$2.15 
Bottled Water,$1.50 
Chicken Burrito,$11.25 
Chips,$2.15 
Chicken Soft Tacos,$8.49 
Chicken Soft Tacos,$8.49 
Barbacoa Burrito,$11.75 
Steak Burrito,$9.25 
Steak Bowl,$11.75 
Canned Soft Drink,$1.25 
Chicken Burrito,$11.25 
Chicken Burrito,$8.75 
Chips and Guacamole,$4.45 
6 Pack Soft Drink,$6.49 
Steak Soft Tacos,$9.25 
Chips and Fresh Tomato Salsa,$2.95 
Chicken Soft Tacos,$11.25 
Chips and Guacamole,$4.45 
Canned Soft Drink,$1.25 
Canned Soft Drink,$1.25 
Chicken Bowl,$8.49 
